id,source_id,dataset,graph,strategy,provenance,tier,n_ann,label,prop,original_entity,perturbed_form,augmented_question,assigned_annotators
cypherbench:1614,97cfbac0-4dbd-4b2f-9307-cc70d91d8cc7,cypherbench,movie,partial,algorithmic,2-sample,2,Genre,name,arthouse science fiction film,arthouse science fiction,"What are the names of genres that are associated with movies which also have the genre 'arthouse science fiction', and how many such movies are associated with each genre?",D;E
cypherbench:2018,6991782e-3c5c-409d-acef-f758b8ca84c5,cypherbench,politics,alias,llm,1-census,2,PoliticalParty,name,Centre Union,EK,"Who are the politicians that the EK was founded by, and what are their dates of death?",A;B
cypherbench:1318,e06985dd-34b6-4d21-a777-59e887088052,cypherbench,geography,alias,attested,1-sample,2,River,name,Unini River,Rio Unini,"What are the names of rivers that flow into the Rio Unini, and how many countries does each of them pass through?",A;C
cypherbench:315,8593b48b-329d-47b3-9a4d-ecbcffa185de,cypherbench,flight_accident,abbrev,llm,1-census,2,FlightAccident,name,American Airlines Flight 383,AA 383,Who are the operators of the AA 383?,A;D
cypherbench:724,f15bd0fd-c218-44fc-9b9d-a2f0c9d9d0bf,cypherbench,fictional_character,alias,attested,1-sample,2,Character,name,Mattie Franklin,Martha Franklin,What is the name and country of citizenship of Martha Franklin's father?,A;E
zograscope:93,639,zograscope,pole,casing,algorithmic,2-sample,2,Person,surname,Myers,myers,Who are the individuals with access to a myers' phone number?,B;C
cypherbench:1020,60d51302-c070-4981-a0ad-93488ddbf28c,cypherbench,company,alias,attested,1-sample,2,Company,name,Berkshire Hathaway,Valley Falls Company,"Provide the names of all individuals who have served on the board of Valley Falls Company, along with the number of companies each of them has founded.",B;D
cypherbench:1043,706d5649-1b1a-4f49-8641-da3401e33fed,cypherbench,company,partial,algorithmic,2-sample,1,,,Domino's Pizza Group plc,plc,What is the name and launch year of the company that is based in the United States of America and owns plc?,B
cypherbench:128,50d44b7a-64e6-49f6-8ba2-602c29e3ef9e,cypherbench,nba,abbrev,llm,1-census,2,Team,name,Utah Jazz,UTA,"What are the names of players who have been part of the UTA and were born on February 28th, 1978?",B;E
cypherbench:1813,19fe93bf-f586-464d-acd0-c050f57dc301,cypherbench,politics,alias,attested,1-sample,2,Position,name,Roman governor,Rector provinciae,How many different positions have been held by politicians who have also served as Rector provinciaes at some point?,C;D
cypherbench:1782,0a3b03f4-e985-4a00-a2a5-90421f1dcd01,cypherbench,politics,abbrev,llm,1-census,2,PoliticalParty,name,Popular Republican Movement,MRP,"Who are the politicians who have served as the French co-prince of Andorra and founded the MRP, and where were they born?",C;E
mindthequery:858,Complex_Retrieval_test:133,mindthequery,healthcare,alias,llm,1-census,2,AgeGroup,ageGroup,Adolescent,teenager,Find all cases where the patient is in the 'teenager' age group and the event date occurred in August 2020. Return the case's primary ID and event date.,D;E
mindthequery:702,Complex_Aggregation_test:186,mindthequery,healthcare,alias,llm,1-census,2,Outcome,outcome,Death,passing,What is the total number of cases registered by each manufacturer that resulted in 'passing'?,A;B
mindthequery:910,Complex_Retrieval_test:189,mindthequery,healthcare,alias,llm,1-census,2,Reaction,description,Immunodeficiency,immune deficiency,Find all cases registered by 'LEADING PHARMA' that have 'immune deficiency' listed as a reaction. Return the primary IDs of the cases.,A;C
mindthequery:310,Complex_Retrieval_test:163,mindthequery,covid,alias,llm,1-census,2,Person,name,Baron Collins,Lord Collins,"Identify persons who visited the same Place as 'Lord Collins', and return their names along with the name of that Place.",A;D
zograscope:747,3932,zograscope,pole,casing,algorithmic,2-sample,2,,,NHS number 220-58-0896,nhs number 220-58-0896,What are the surnames of those family related to someone who knows a friend of the person with nhs number 220-58-0896?,A;E
zograscope:128,2373,zograscope,pole,typo,algorithmic,2-sample,2,Person,surname,Clark,Calrk,Can you provide the emails of individuals with the surname Calrk related to someone with the surname Howell?,B;C
mindthequery:862,Complex_Retrieval_test:137,mindthequery,healthcare,abbrev,llm,1-census,2,Manufacturer,manufacturerName,THERAPEUTICSMD,TXMD,Find all cases that fall under the 'Elderly' age group and were registered by the manufacturer 'TXMD'. Return the primary IDs of these cases and the event dates.,B;D
zograscope:291,1772,zograscope,pole,typo,algorithmic,2-sample,1,Person,surname,Martin,Maartin,When was the most recent crime at a location linked to a 14/08/2017 crime and to a Maartin resident?,C
cypherbench:2086,4a527e58-8fb5-44d4-b59f-1f943311867c,cypherbench,politics,abbrev,attested,1-sample,2,InternationalOrganization,name,Comprehensive Nuclear-Test-Ban Treaty Organization,CTBTO,How many countries are either members of the CTBTO or have had Walter Scheel as their head of government at some point?,B;E
cypherbench:2070,9b377c11-81dd-42cc-90bc-e65b3a0ec5e7,cypherbench,politics,alias,llm,1-census,2,Politician,name,Konstantinos Mitsotakis,Constantine Mitsotakis,"Who died later, Constantine Mitsotakis or Georges Villiers?",C;D
cypherbench:74,6cd21454-d5db-408f-9eb8-700c620efd7c,cypherbench,nba,partial,algorithmic,2-sample,2,Team,name,Indiana Pacers,Indiana,"What are the names of awards received by players who have been part of the Indiana, and how many such players have received each award?",C;E
cypherbench:458,60cdeeaf-bdbd-4c6e-b162-f0e816662be0,cypherbench,fictional_character,partial,llm,1-census,2,Character,name,Loras Tyrell,Loras,What are the names and creators of characters who killed Loras and have Myrcella Baratheon as their kid?,D;E
cypherbench:2046,dec832c8-039a-46dc-94f2-214c22f9e9c3,cypherbench,politics,abbrev,attested,1-sample,2,Country,name,Cyprus,CY,"Provide the names of all countries that have diplomatic relations with CY, along with the number of politicians who have served as their head of state at any time.",A;B
mindthequery:699,Complex_Aggregation_test:183,mindthequery,healthcare,alias,llm,1-census,2,ReportSource,name,Physician,doctor,"For each drug prescribed in therapies, what is the total number of cases where the reporter occupation is 'doctor' and what is the average age of patients in those cases?",A;C
mindthequery:1120,Complex_Retrieval_test:106,mindthequery,wwc,alias,llm,1-census,2,Team,name,Korea DPR,North Korea,"Retrieve the names of all players who played in a match in the 'China PR 1991' tournament and also represent the 'North Korea' team. For each player, return the match ID and the stage of the match.",A;D
mindthequery:27,Complex_Aggregation_test:6,mindthequery,covid,alias,llm,1-census,2,Place,type,Mall,shopping centre,"For each continent, calculate the percentage of visits made by 'Sick' persons to 'shopping centre' places. Return the continent name and the percentage of 'Sick' person visits to 'shopping centre' places.",A;E
mindthequery:1053,Complex_Retrieval_test:32,mindthequery,wwc,abbrev,llm,1-census,2,Team,name,Australia,AUS,Find all players who represent 'AUS' and played in matches during the 'Sweden 1995' tournament. Return the player's name and the match ID.,B;C
mindthequery:569,Complex_Aggregation_test:36,mindthequery,healthcare,abbrev,llm,1-census,2,Drug,name,POLYETHYLENE GLYCOL 3350,PEG 3350,"For cases where the primary suspect drug was 'PEG 3350', what is the count of cases and the average age, grouped by the reporter's occupation?",B;D
mindthequery:694,Complex_Aggregation_test:178,mindthequery,healthcare,abbrev,llm,1-census,2,ReportSource,name,Health Professional,HCP,"What is the average age of cases that resulted in 'Disability' and were reported by 'HCP', grouped by the route of administration of the primary suspect drug?",B;E
mindthequery:683,Complex_Aggregation_test:167,mindthequery,healthcare,casing,algorithmic,2-sample,2,Drug,name,ALUNBRIG,alunbrig,"For each 'AgeGroup', find the total number of cases where 'alunbrig' was a primary suspect drug, and also compute the average age of patients.",C;D
cypherbench:1476,a8076024-730b-4d75-b9d6-74958f72583c,cypherbench,movie,alias,llm,1-census,2,Award,name,Boston Society of Film Critics Award for Best Supporting Actor,BSFC Award for Best Supporting Actor,"Which countries have released movies that won the BSFC Award for Best Supporting Actor, and how many such movies were released in each country?",C;E
mindthequery:928,Complex_Retrieval_test:209,mindthequery,healthcare,abbrev,llm,1-census,2,Manufacturer,manufacturerName,ALEXION,ALXN,Find all cases registered by 'ALXN' where the therapy includes 'ZANTAC' prescribed between the years '1995' and '2012'. Return the case IDs.,D;E
zograscope:92,2120,zograscope,pole,abbrev,llm,1-census,2,Officer,rank,Police Constable,PC,"How many PCs looked into crimes on August 31, 2017?",A;B
mindthequery:429,Complex_Retrieval_test:80,mindthequery,er,abbrev,attested,1-sample,2,User,country,us,United States,"Find all users from the 'United States' whose email contains 'rambler.ru' and have watched movies released in 2021. Return their first name, last name, and the titles of the movies they watched, along with the address of any IpAddress they have used.",A;C
mindthequery:353,Complex_Aggregation_test:36,mindthequery,er,abbrev,attested,1-sample,2,User,country,us,United States,"What is the average number of genres associated with movies watched by users from 'United States', and what is the total number of movies watched by these users?",A;D
mindthequery:490,Complex_Retrieval_test:171,mindthequery,er,abbrev,attested,1-sample,2,User,country,us,United States,"For each user from the United States, find the total number of movies they have watched, and return their first name, last name, and the total watch count.",A;E
mindthequery:554,Complex_Aggregation_test:20,mindthequery,healthcare,alias,llm,1-census,2,Drug,name,MINOCYCLINE,Minocin,What is the count of cases for each age group where the primary suspect drug is 'Minocin' and the reporter occupation is 'Hospital'?,B;C
zograscope:492,3654,zograscope,pole,typo,algorithmic,2-sample,1,Person,name,Judith,Jjdith,What's the number of Jjdiths living at the crime scene?,D
cypherbench:1734,e406691b-c986-48b9-895f-4d0198cb7a53,cypherbench,movie,partial,algorithmic,2-sample,2,Award,name,Silver Bear Grand Jury Prize,Bear Grand Jury Prize,What are the names and filming locations of movies that are from Germany and have won the Bear Grand Jury Prize?,B;D
mindthequery:345,Complex_Retrieval_test:203,mindthequery,covid,alias,llm,1-census,2,Place,type,Restaurant,resto,Find the names of all persons who visited a place of type 'resto' and whose visit duration was longer than 1 hour (3600 seconds).,B;E
zograscope:778,3522,zograscope,pole,typo,algorithmic,2-sample,2,Person,name,Diana,Dinaa,Can you name individuals who know a Dinaa linked to a crime on 27th August 2017?,C;D
cypherbench:833,01fa1a43-2752-42bd-8e99-720b4e8204cf,cypherbench,company,abbrev,llm,1-census,2,Company,name,Nissan New Zealand,Nissan NZ,What are the names of companies that have Makoto Uchida as their CEO and are parent of Nissan NZ?,C;E
cypherbench:1298,20dc854a-3c3d-4fa5-ad49-0eb7d4cb59d2,cypherbench,geography,abbrev,attested,1-sample,2,Continent,name,North America,NA,How many countries are located in NA or in which the Los Angeles River watershed is located?,D;E
mindthequery:781,Complex_Retrieval_test:48,mindthequery,healthcare,abbrev,llm,1-census,2,Manufacturer,manufacturerName,ALKERMES,ALKS,Retrieve all cases registered by 'ALKS' where the event date is before '2021-03-01'. Return the primary IDs of the cases and their event dates.,A;B
zograscope:387,1468,zograscope,pole,typo,algorithmic,2-sample,1,Person,surname,Kennedy,Knnedy,What phones are owned by people with the last name Knnedy?,E
cypherbench:231,49b5b6a9-b72d-4152-a7d0-edd85bdf301d,cypherbench,nba,abbrev,llm,1-census,2,Team,name,Washington Wizards,Wizards,How many teams have players who have also played for the Wizards at some point?,A;C
cypherbench:9,590f51a4-1dae-412d-974b-d4113c8c20c3,cypherbench,nba,abbrev,llm,1-census,2,Award,name,ACB Most Valuable Player Award,ACB MVP,"Provide the names of all players who have received the ACB MVP, along with the number of positions each player has played.",A;D
cypherbench:1494,428873fd-c79a-4d8a-a351-d3e1a70f41fa,cypherbench,movie,abbrev,llm,1-census,2,ProductionCompany,name,The Saul Zaentz Company,Saul Zaentz Co.,"List the names of all movies produced by Saul Zaentz Co., along with the number of different directors for each movie.",A;E
cypherbench:1193,e70abc37-1bbb-4b43-be3d-b3326331d89a,cypherbench,geography,abbrev,attested,1-sample,2,Country,name,Spain,ES,"Provide the names of all drainage basins located in ES, along with the number of countries each basin is situated in.",B;C
cypherbench:1753,352b46b5-0175-4f9a-81e4-a4bb5619f30e,cypherbench,movie,alias,attested,1-sample,2,Person,name,Quentin Tarantino,Tarantino,"What are the names of movies featuring Tarantino, and how many writers does each of these movies have?",B;D
mindthequery:336,Complex_Retrieval_test:193,mindthequery,covid,alias,llm,1-census,2,Place,type,Restaurant,resto,"Find the average duration of visits performed by persons with 'Sick' healthstatus to places of type 'resto' after 2020-04-25, and return the average duration in seconds.",B;E
cypherbench:300,91c17b7c-641c-4b18-9325-b6eccdf9f2e7,cypherbench,flight_accident,typo,algorithmic,2-sample,1,FlightAccident,name,Aeroflot Flight 3603,Aerolot Flight 3603,Who are the operators by whom Aerolot Flight 3603 is operated?,A
cypherbench:1504,f30a5822-69a5-4499-9a60-91865e9441d3,cypherbench,movie,abbrev,attested,1-sample,2,ProductionCompany,name,Columbia Pictures,CPII,"What are the names and global box office earnings of movies produced by CPII that have won the Hugo Award for Best Dramatic Presentation, Long Form?",C;D
cypherbench:2037,c8f54175-dd84-4ca7-9dae-b7993bb652c4,cypherbench,politics,alias,llm,1-census,2,,,Chamber of Deputies of Romania,Lower House of Romania,Who are the politicians who served as members of the Lower House of Romania during the year 2008?,C;E
zograscope:1282,4273,zograscope,pole,abbrev,llm,1-census,2,Officer,rank,Police Constable,PC,Can you identify the PCs who worked on an investigation concluded without identifying a suspect that happened at the same place of a vehicle-related crime on 5/08/2017?,D;E
cypherbench:921,2679df13-6bc5-4496-ac74-e199d0d34237,cypherbench,company,typo,algorithmic,2-sample,2,Company,name,J Sainsbury,J Saainsbury,What are the names of companies that are either subsidiaries of J Saainsbury or have had Mike Coupe as their CEO at some point?,A;B
mindthequery:441,Complex_Retrieval_test:95,mindthequery,er,abbrev,attested,1-sample,2,User,country,us,United States,"Find the phone numbers of female users from the 'United States' who have watched movies of the 'Comedy' genre, and where the movie's release year is 2021.",A;C
cypherbench:16,1e60e349-2eb1-4da0-950b-2e0a5cf0f4d3,cypherbench,nba,abbrev,llm,1-census,2,Conference,name,Western Conference,the West,What are the names of teams in the West?,A;D
cypherbench:1081,d96ced22-b55e-4c1b-b32d-6f9a774a53a2,cypherbench,geography,alias,attested,1-sample,2,Ocean,name,Pacific Ocean,Pacifick Ocean,"Which country, through which a river flows into the Pacifick Ocean, has the largest area in square kilometers?",A;E
mindthequery:963,Complex_Aggregation_test:24,mindthequery,wwc,typo,algorithmic,2-sample,2,Tournament,name,USA 2003,US 2003,"For each squad in the 'US 2003' tournament, determine the number of players and calculate the average number of matches played by each player in that squad. Return the squad ID, number of players, and average matches per player.",B;C
cypherbench:874,eae02bd8-5daa-4d17-86ff-37c42caccbcc,cypherbench,company,alias,attested,1-sample,2,Person,name,Roberto Setúbal,Roberto Egydio Setubal,"Who are the founders of companies that have had Roberto Egydio Setubal as a board member, and how many such companies did each person found?",B;D
zograscope:986,2478,zograscope,pole,typo,algorithmic,2-sample,1,Officer,name,Shay,Shhay,Can you identify officers named Shhay who looked into crimes?,B
mindthequery:1139,Complex_Retrieval_test:130,mindthequery,wwc,abbrev,llm,1-census,2,Tournament,name,Germany 2011,WWC 2011,Retrieve the names of all coaches who coach squads that participated in the 'WWC 2011' tournament.,B;E
cypherbench:904,10ade952-81a8-46db-b52a-00f84416b169,cypherbench,company,alias,llm,1-census,2,Company,name,Mitsubishi,Three Diamonds,"Provide the names of all companies that are subsidiaries of Three Diamonds, along with the number of individuals who have served as their CEO at any time.",C;D
cypherbench:336,ef21d702-743f-4623-8537-754611c84765,cypherbench,flight_accident,abbrev,llm,1-census,2,FlightAccident,name,Noar Linhas Aéreas Flight 4896,Noar Flight 4896,Do Noar Flight 4896 and Air Moorea Flight 1121 have an equal number of survivors?,C;E
cypherbench:447,60dfbe4d-60a9-4bad-ab0b-1fe1f69cb984,cypherbench,fictional_character,alias,llm,1-census,2,Location,name,Beyond the Wall,the True North,"What are the names of locations where characters born in the True North have died, and how many such characters died in each location?",D;E
cypherbench:1634,8834f66d-ce72-45e5-b77b-66b8aaa65d59,cypherbench,movie,abbrev,llm,1-census,2,ProductionCompany,name,Rough House Pictures,Rough House,Are Rough House and Opus Film based in the same country?,A;B
zograscope:1004,1874,zograscope,pole,partial,algorithmic,2-sample,2,Location,address,7 Rivers Street,Rivers Street,What were the names of officers investigating the crimes at Rivers Street on 7/08/2017?,A;C
cypherbench:1259,f8396467-140b-4e81-ac07-2d100be3317a,cypherbench,geography,typo,algorithmic,2-sample,1,DrainageBasin,name,Ob Basin,Ob Bason,"What are the names of all rivers in the Ob Bason, and how many countries does each river flow through?",C
zograscope:611,2647,zograscope,pole,typo,algorithmic,2-sample,2,Person,surname,Moreno,Mooreno,How many emails belong to individuals who are friends with someone whose last name is Mooreno?,A;D
mindthequery:37,Complex_Aggregation_test:26,mindthequery,covid,partial,algorithmic,2-sample,1,Place,type,Grocery shop,Grocery,"For each continent, determine the average visit duration in seconds for visits performed by persons with 'Healthy' health status to 'Grocery' places. Return the continent name and the average visit duration.",D
cypherbench:1546,18ea513a-6655-4dce-8f47-f0f482003813,cypherbench,movie,abbrev,attested,1-sample,2,Country,name,Switzerland,SUI,"What are the names of movies released in SUI, and how many directors does each have?",A;E
mindthequery:980,Complex_Aggregation_test:69,mindthequery,wwc,abbrev,llm,1-census,2,Tournament,name,Germany 2011,WWC 2011,"For each team that participated in the 'WWC 2011' tournament, find the average number of goals scored by players from that team in all matches. Return the team name and the average goals scored.",B;C
cypherbench:1695,d59d8da2-87a4-4c7d-9c49-3edc857d8fb5,cypherbench,movie,alias,attested,1-sample,2,Person,name,James Toback,James Lee Toback,What are the names of movies either written by James Lee Toback or that have received the Academy Award for Best Production Design?,B;D
cypherbench:1773,847eef65-c9f8-4129-b81e-99e1acc957a3,cypherbench,politics,abbrev,attested,1-sample,2,Country,name,Malaysia,MYS,"What are the names of countries that have diplomatic relations with MYS, and how many political parties operate in each of them?",B;E
mindthequery:740,Complex_Retrieval_test:7,mindthequery,healthcare,alias,llm,1-census,2,Drug,name,TRULANCE,plecanatide,"Find cases where the drug 'plecanatide' with primary substance 'PLECANATIDE' is either a primary, secondary, or concomitant suspect, and the patient's age is greater than 70. Return the primary IDs of these cases.",C;D
cypherbench:1818,4b55f3bc-18e7-4e65-8a92-401581d97d44,cypherbench,politics,partial,algorithmic,2-sample,2,Politician,name,Alain Juppé,Juppé,"List the names of politicians who have led political parties that were also led by Juppé at some point, and for each of these politicians, provide the number of such political parties they have headed.",C;E
cypherbench:1626,1dc7a59d-5ac9-445c-b89c-6be8e6b67a7a,cypherbench,movie,alias,llm,1-census,2,ProductionCompany,name,Goldcrest Films,Goldcrest,How many movies were either produced by Goldcrest or feature Simon Chandler in the cast?,D;E
zograscope:1072,4232,zograscope,pole,partial,algorithmic,2-sample,1,Location,address,Petrol Station,Petrol,What are the NHS numbers of individuals connected to someone with NHS number 329-25-8167 and who also know people linked to crimes at the Petrol?,E
cypherbench:1030,441978ae-792f-4cfd-a424-7cd7df922fb6,cypherbench,company,alias,attested,1-sample,2,Person,name,Samuel van den Bergh,S. van den Bergh,"Provide the names of individuals who have served as CEO at any time for companies founded by S. van den Bergh, along with the count of such companies for each person.",A;B
mindthequery:428,Complex_Retrieval_test:79,mindthequery,er,typo,algorithmic,2-sample,1,Genre,name,Adventure,Advetnure,"Retrieve the movie titles released in 2021 that are associated with the 'Advetnure' genre, and also return the first name and last name of users who have watched these movies, along with the watch count.",A
mindthequery:1194,Complex_Retrieval_test:193,mindthequery,wwc,partial,algorithmic,2-sample,2,Tournament,name,Canada 2015,Canada,"List all teams that have a squad participating in the 'Canada' tournament, and for each team, show the names of all players in that squad.",A;C
mindthequery:30,Complex_Aggregation_test:11,mindthequery,covid,typo,algorithmic,2-sample,2,Person,healthstatus,sick,sik,"For each country, calculate the average visit duration in seconds for visits performed by people who were confirmed to be sik before '2020-04-21 T 00:00:00 UTC'. Return the country name and the average visit duration.",A;D
cypherbench:1316,093cb0cc-d4c6-478e-b67a-7a44f57b138e,cypherbench,geography,abbrev,attested,1-sample,2,Country,name,Thailand,THA,What are the names and lengths in kilometers of rivers that flow through THA?,A;E
cypherbench:751,1b64800c-e1b6-4227-8319-d80288b85362,cypherbench,company,abbrev,llm,1-census,2,Company,name,Global Market Insite,GMI,"Who are the individuals who both founded GMI and have served as its CEO, and what are their countries of citizenship?",B;C
mindthequery:177,Complex_Retrieval_test:24,mindthequery,covid,abbrev,llm,1-census,2,Country,name,Belgium,BE,"Identify persons who visited a place located in 'BE' and whose visit duration was longer than 1 hour. Return the person's name, the place's name, and the visit duration in seconds.",B;D
zograscope:1108,4678,zograscope,pole,casing,algorithmic,2-sample,1,Location,address,4 Rowsley Avenue,4 ROWSLEY AVENUE,How many officers looked into a vehicle-related crime at 4 ROWSLEY AVENUE?,B
cypherbench:197,9d779813-fa5d-4d4a-9760-d5465e5cd6b2,cypherbench,nba,typo,algorithmic,2-sample,1,Player,name,Cotton Nash,Cotton Nassh,How many teams have drafted either Cotton Nassh or John Block?,C
cypherbench:159,6544cdcb-6324-4881-8e6b-0c1c07736b99,cypherbench,nba,abbrev,llm,1-census,2,Team,name,Memphis Grizzlies,MEM,What are the unique nicknames of players who were drafted by the MEM and play as centers?,B;E
mindthequery:1007,Complex_Aggregation_test:163,mindthequery,wwc,partial,algorithmic,2-sample,2,Tournament,name,Canada 2015,Canada,"For the 'Canada' tournament, what is the average number of goals scored in matches played by teams representing countries starting with 'N'? Return the average number of goals.",C;D
mindthequery:63,Complex_Aggregation_test:68,mindthequery,covid,typo,algorithmic,2-sample,2,Person,healthstatus,Sick,Siick,"For each continent, determine the average visit duration in seconds for visits originating from persons with 'Siick' health status. Return the continent name and the average duration, ordering by continent name.",C;E
mindthequery:1074,Complex_Retrieval_test:56,mindthequery,wwc,alias,llm,1-census,2,Team,name,Costa Rica,Las Ticas,"For the team 'Las Ticas', find all the players who represent them and scored a goal in any match. Return the player's name and the ID of the match in which they scored.",D;E
mindthequery:367,Complex_Aggregation_test:180,mindthequery,er,abbrev,llm,1-census,2,User,gender,female,F,"For each state, what is the average number of movies watched by F users, and what is the total number of F users?",A;B
cypherbench:381,e2513aae-318f-4c8a-bf39-3d38011c84dc,cypherbench,flight_accident,alias,attested,1-sample,2,Operator,name,Swissair,Schweizerische Luftverkehr-AG,What is the name of the aircraft model involved in a Schweizerische Luftverkehr-AG flight accident that has the shortest range in kilometers?,A;C
cypherbench:1863,98dcf4ff-6876-4dd4-bc76-cadb9b16f1dc,cypherbench,politics,abbrev,attested,1-sample,2,Country,name,Italy,IT,"What are the names of positions held by politicians who have served as head of state in IT, and how many such politicians have held each position?",A;D
zograscope:216,729,zograscope,pole,abbrev,llm,1-census,2,Person,name,Stephanie,Steph,"How many incidents on August 20, 2017, involve individuals named Steph?",A;E
cypherbench:1268,96f73226-3656-458e-8f6e-357af4c956ab,cypherbench,geography,alias,llm,1-census,2,Mountain,name,Loenpo Gang,Loinbo Kangri,"What are the names of drainage basins located in the same countries as Loinbo Kangri, and how many such countries are they located in?",B;C
mindthequery:697,Complex_Aggregation_test:181,mindthequery,healthcare,abbrev,llm,1-census,2,Manufacturer,manufacturerName,TITAN PHARMACEUTICALS,TTNP,"For cases registered by 'TTNP', what is the count of cases and average age, grouped by gender?",B;D
cypherbench:32,047e97cb-44fb-4148-b36e-c539e0340d16,cypherbench,nba,abbrev,llm,1-census,2,Position,name,small forward,SF,What are the names of awards received by players who play the SF position?,B;E
cypherbench:1128,49203673-e7a7-48ea-84bb-ff404871aa20,cypherbench,geography,alias,attested,1-sample,2,River,name,Kasai River,Kasaï,What is the difference in discharge rate in cubic meters per second between the Olyokma and Kasaï?,C;D
mindthequery:714,Complex_Aggregation_test:200,mindthequery,healthcare,alias,llm,1-census,2,Reaction,description,Asthenopia,eye strain,"What is the average age of patients in cases that have the reaction 'eye strain' and are reported by 'Consumer', grouped by the age group?",C;E
cypherbench:416,8a16ac1f-e3f9-42ea-a5db-c2c04aed8de5,cypherbench,flight_accident,abbrev,llm,1-census,2,FlightAccident,name,South African Airways Flight 201,SAA Flight 201,What are the names and IATA codes of the airports from which SAA Flight 201 departed?,D;E
mindthequery:880,Complex_Retrieval_test:157,mindthequery,healthcare,partial,llm,1-census,2,Drug,name,Pilocarpine hcl,Pilocarpine,Find cases where the patient's age is 62 and the primary suspect drug is 'Pilocarpine'. Return the case's report date and the drug's primary substance.,A;B
mindthequery:1135,Complex_Retrieval_test:123,mindthequery,wwc,abbrev,llm,1-census,2,Tournament,name,France 2019,WWC 2019,"For each match in the 'WWC 2019' tournament, list the teams that played in it. Return the match ID and the names of the teams involved.",A;C
cypherbench:2101,cf84acb8-0c28-405f-98c3-6327a1da3a71,cypherbench,politics,abbrev,llm,1-census,2,Politician,name,Carlos Mazón Guixot,Carlos Mazón,What are the names of the positions currently held by Carlos Mazón?,A;D
cypherbench:1393,c83129f6-29ca-43d5-8dc6-7a4542255d2d,cypherbench,movie,alias,llm,1-census,2,Person,name,Kate McKinnon,Kathryn McKinnon,How many production companies have produced movies featuring Kathryn McKinnon?,A;E
zograscope:1078,1807,zograscope,pole,typo,algorithmic,2-sample,1,Vehicle,make,Nissan,Nissn,What Nissn models have been used in crimes?,D
cypherbench:1405,976b7742-8845-4968-a726-44fa0bf7201e,cypherbench,movie,alias,attested,1-sample,2,Genre,name,road movie,road film,How many countries have produced movies in the road film genre?,B;C
mindthequery:358,Complex_Aggregation_test:63,mindthequery,er,abbrev,attested,1-sample,2,User,country,US,United States,"For each state in the United States, what is the average number of movies watched by users and the total number of unique IP addresses used by users in that state?",B;D
mindthequery:670,Complex_Aggregation_test:150,mindthequery,healthcare,abbrev,llm,1-census,2,Outcome,outcome,Hospitalization - Initial or Prolonged,HO,"For cases reported by 'Consumer', what is the average age of patients who experienced 'HO' as an outcome, grouped by the gender of the patient?",B;E
cypherbench:465,3838a30e-eaba-4b6a-8db7-ec1a64f46948,cypherbench,fictional_character,abbrev,llm,1-census,2,FictionalUniverse,name,Cthulhu Mythos,the Mythos,"Provide the names of fathers with children from the Mythos universe, along with the count of such children for each of those characters.",C;D
